station,date,prcp,tobs
USC00519397,01/01/2010,0.08,65
USC00519397,02/01/2010,0,63
USC00519397,03/01/2010,0,74
USC00519397,04/01/2010,0,76
USC00519397,06/01/2010,,73
USC00519397,07/01/2010,0.06,70
USC00519397,08/01/2010,0,64
USC00519397,09/01/2010,0,68
USC00519397,10/01/2010,0,73
USC00519397,11/01/2010,0.01,64
USC00519397,12/01/2010,0,61
USC00519397,14/01/2010,0,66
USC00519397,15/01/2010,0,65
USC00519397,16/01/2010,0,68
USC00519397,17/01/2010,0,64
USC00519397,18/01/2010,0,72
USC00519397,19/01/2010,0,66
USC00519397,20/01/2010,0,66
USC00519397,21/01/2010,0,69
USC00519397,22/01/2010,0,67
USC00519397,23/01/2010,0,67
USC00519397,24/01/2010,0.01,71
USC00519397,25/01/2010,0,67
USC00519397,26/01/2010,0.04,76
USC00519397,27/01/2010,0.12,68
USC00519397,28/01/2010,0,72
USC00519397,30/01/2010,,70
USC00519397,31/01/2010,0.03,67
USC00519397,01/02/2010,0.01,66
USC00519397,03/02/2010,,67
USC00519397,04/02/2010,0.01,69
USC00519397,05/02/2010,0,67
USC00519397,06/02/2010,0,67
USC00519397,07/02/2010,0,64
USC00519397,08/02/2010,0,69
USC00519397,09/02/2010,0,73
USC00519397,11/02/2010,0,73
USC00519397,12/02/2010,0.02,69
USC00519397,13/02/2010,0.01,69
USC00519397,14/02/2010,0,69
USC00519397,15/02/2010,0,71
USC00519397,16/02/2010,0,61
USC00519397,17/02/2010,0,69
USC00519397,19/02/2010,,63
USC00519397,20/02/2010,0.03,64
USC00519397,21/02/2010,0,65
USC00519397,22/02/2010,0,67
USC00519397,23/02/2010,0,68
USC00519397,24/02/2010,0,65
USC00519397,25/02/2010,0,76
USC00519397,26/02/2010,0,75
USC00519397,28/02/2010,0,66
USC00519397,01/03/2010,0.01,70
USC00519397,02/03/2010,0,72
USC00519397,03/03/2010,0,73
USC00519397,04/03/2010,0.12,70
USC00519397,05/03/2010,0.08,71
USC00519397,06/03/2010,0.03,72
USC00519397,07/03/2010,0,72
USC00519397,08/03/2010,0.43,69
USC00519397,09/03/2010,0.06,70
USC00519397,11/03/2010,,73
USC00519397,12/03/2010,0,72
USC00519397,13/03/2010,0,73
USC00519397,14/03/2010,0,70
USC00519397,15/03/2010,0.06,71
USC00519397,17/03/2010,0,68
USC00519397,18/03/2010,0,70
USC00519397,21/03/2010,0,72
USC00519397,22/03/2010,0,69
USC00519397,23/03/2010,0,68
USC00519397,24/03/2010,0,74
USC00519397,26/03/2010,,72
USC00519397,27/03/2010,0,72
USC00519397,28/03/2010,0,73
USC00519397,29/03/2010,0,74
USC00519397,30/03/2010,0,73
USC00519397,31/03/2010,0,73
USC00519397,01/04/2010,0,74
USC00519397,02/04/2010,0.01,74
USC00519397,03/04/2010,0.17,74
USC00519397,04/04/2010,0.15,71
USC00519397,05/04/2010,0.27,72
USC00519397,06/04/2010,0.01,75
USC00519397,08/04/2010,0,75
USC00519397,09/04/2010,0.01,75
USC00519397,10/04/2010,0,75
USC00519397,11/04/2010,0.01,73
USC00519397,12/04/2010,0.01,73
USC00519397,13/04/2010,0,71
USC00519397,15/04/2010,0,71
USC00519397,16/04/2010,0.01,68
USC00519397,17/04/2010,0,70
USC00519397,18/04/2010,0,71
USC00519397,19/04/2010,0,74
USC00519397,20/04/2010,0.04,71
USC00519397,21/04/2010,0.01,75
USC00519397,22/04/2010,0,76
USC00519397,23/04/2010,0.02,75
USC00519397,24/04/2010,0,75
USC00519397,25/04/2010,0,76
USC00519397,26/04/2010,0,76
USC00519397,28/04/2010,0,76
USC00519397,30/04/2010,0,77
USC00519397,01/05/2010,0,77
USC00519397,02/05/2010,0.03,73
USC00519397,03/05/2010,0.2,74
USC00519397,04/05/2010,0.08,76
USC00519397,05/05/2010,0.01,76
USC00519397,06/05/2010,0,80
USC00519397,07/05/2010,0.05,74
USC00519397,08/05/2010,0,77
USC00519397,09/05/2010,0,77
USC00519397,10/05/2010,0,76
USC00519397,11/05/2010,0,77
USC00519397,13/05/2010,0,78
USC00519397,14/05/2010,0,78
USC00519397,15/05/2010,0,75
USC00519397,16/05/2010,0.03,73
USC00519397,17/05/2010,0,77
USC00519397,18/05/2010,0,76
USC00519397,19/05/2010,0,77
USC00519397,21/05/2010,,77
USC00519397,22/05/2010,0,78
USC00519397,23/05/2010,0.05,75
USC00519397,24/05/2010,0,77
USC00519397,25/05/2010,0,77
USC00519397,26/05/2010,0.02,77
USC00519397,27/05/2010,0,76
USC00519397,28/05/2010,0,75
USC00519397,29/05/2010,0,77
USC00519397,30/05/2010,0,77
USC00519397,31/05/2010,0,77
USC00519397,01/06/2010,0,78
USC00519397,02/06/2010,0.01,76
USC00519397,03/06/2010,0,78
USC00519397,04/06/2010,0,76
USC00519397,05/06/2010,0,77
USC00519397,06/06/2010,0,78
USC00519397,07/06/2010,0,77
USC00519397,08/06/2010,0,78
USC00519397,09/06/2010,0,78
USC00519397,10/06/2010,0,79
USC00519397,11/06/2010,0,78
USC00519397,12/06/2010,0,78
USC00519397,13/06/2010,0,78
USC00519397,14/06/2010,0,77
USC00519397,15/06/2010,0,78
USC00519397,16/06/2010,0,78
USC00519397,17/06/2010,0,77
USC00519397,18/06/2010,0,77
USC00519397,19/06/2010,0,82
USC00519397,20/06/2010,0,78
USC00519397,21/06/2010,0,78
USC00519397,22/06/2010,0,78
USC00519397,23/06/2010,0,78
USC00519397,24/06/2010,0,78
USC00519397,25/06/2010,0,77
USC00519397,26/06/2010,0.02,76
USC00519397,27/06/2010,0,78
USC00519397,28/06/2010,0,78
USC00519397,29/06/2010,0,78
USC00519397,30/06/2010,0,78
USC00519397,01/07/2010,0.01,75
USC00519397,02/07/2010,0.05,77
USC00519397,03/07/2010,0.09,77
USC00519397,04/07/2010,0.05,78
USC00519397,05/07/2010,0.06,78
USC00519397,06/07/2010,0.08,76
USC00519397,07/07/2010,0.08,74
USC00519397,08/07/2010,0.03,76
USC00519397,09/07/2010,0.06,74
USC00519397,10/07/2010,0.09,76
USC00519397,11/07/2010,0,78
USC00519397,12/07/2010,0,77
USC00519397,13/07/2010,0,80
USC00519397,16/07/2010,,78
USC00519397,17/07/2010,0.02,76
USC00519397,18/07/2010,0,77
USC00519397,19/07/2010,0.04,77
USC00519397,21/07/2010,0,80
USC00519397,22/07/2010,0,78
USC00519397,24/07/2010,0,80
USC00519397,25/07/2010,0,79
USC00519397,26/07/2010,0,78
USC00519397,27/07/2010,0,79
USC00519397,28/07/2010,0,78
USC00519397,29/07/2010,0,79
USC00519397,30/07/2010,0,78
USC00519397,31/07/2010,0.02,77
USC00519397,01/08/2010,0.04,77
USC00519397,02/08/2010,0.01,76
USC00519397,03/08/2010,0.02,77
USC00519397,04/08/2010,0.07,77
USC00519397,05/08/2010,0.08,75
USC00519397,06/08/2010,0.03,75
USC00519397,07/08/2010,0,80
USC00519397,08/08/2010,0,77
USC00519397,09/08/2010,0,78
USC00519397,10/08/2010,0,78
USC00519397,11/08/2010,0,77
USC00519397,12/08/2010,0,76
USC00519397,13/08/2010,0,78
USC00519397,14/08/2010,0,78
USC00519397,15/08/2010,0.01,76
USC00519397,16/08/2010,0,76
USC00519397,17/08/2010,0.05,74
USC00519397,18/08/2010,0,77
USC00519397,19/08/2010,0,79
USC00519397,20/08/2010,0,79
USC00519397,21/08/2010,0,79
USC00519397,22/08/2010,0,75
USC00519397,23/08/2010,0.01,87
USC00519397,24/08/2010,0,78
USC00519397,25/08/2010,0.04,76
USC00519397,26/08/2010,0.03,78
USC00519397,27/08/2010,0,78
USC00519397,28/08/2010,0.04,79
USC00519397,29/08/2010,0,78
USC00519397,30/08/2010,0,78
USC00519397,31/08/2010,0,80
USC00519397,01/09/2010,0,77
USC00519397,02/09/2010,0.02,76
USC00519397,03/09/2010,0.04,78
USC00519397,04/09/2010,0.01,77
